file,n,mean,std,min,max,p5,p95,range,rms
Mesures27062024_21.txt,1000,14957.722699999998,2933.594580311586,9926.99,19914.45,10339.3875,19497.451,9987.460000000001,15242.684984336873
Mesures27062024_210.txt,1000,21699.00864,4297.049761713,14418.78,29050.66,15007.6865,28456.514,14631.88,22120.389070118825
Mesures27062024_211.txt,1000,21739.79154,4272.276937304326,14460.4,29005.27,15065.197,28429.869,14544.87,22155.60620772264
Mesures27062024_212.txt,1000,21883.088060000002,4324.4207642881875,14570.47,29263.47,15176.9765,28687.328999999998,14693.000000000002,22306.28068478296
Mesures27062024_213.txt,1000,21854.6283,4304.515887685479,14548.89,29233.5,15149.5835,28622.588499999998,14684.61,22274.506395395107
Mesures27062024_214.txt,1000,22330.83882,4443.456984870744,14851.08,29896.98,15461.026,29329.362,15045.9,22768.63352028873
Mesures27062024_215.txt,1000,21852.41493,4336.797389250804,14493.19,29283.73,15100.3785,28677.065,14790.539999999999,22278.59622750723
Mesures27062024_216.txt,1000,21298.079990000002,4241.545419281573,14184.14,28579.66,14767.076,27977.563000000002,14395.52,21716.328391426276
Mesures27062024_217.txt,1000,21565.932780000003,4299.287521842901,14328.59,28956.12,14928.6855,28372.61,14627.529999999999,21990.30081347121
Mesures27062024_218.txt,1000,21103.64525,4168.360470532405,14010.15,28293.54,14595.8935,27674.295499999997,14283.390000000001,21511.37075711691
Mesures27062024_219.txt,1000,21596.322509999998,4280.697512733012,14335.57,28953.41,14942.791,28353.1485,14617.84,22016.482851524022
Mesures27062024_22.txt,1000,14831.65138,2909.3533151948554,9840.99,19749.24,10250.188,19332.126,9908.250000000002,15114.305123640028
Mesures27062024_220.txt,1000,21318.49592,4230.992311354719,14144.95,28548.23,14749.7545,27948.319,14403.279999999999,21734.29465682748
Mesures27062024_221.txt,1000,21536.21476,4265.732181562099,14327.8,28798.85,14913.573,28226.183,14471.05,21954.61266416824
Mesures27062024_222.txt,1000,21376.87035,4244.142155184411,14160.98,28736.9,14770.978,28116.9295,14575.920000000002,21794.112246065964
Mesures27062024_223.txt,1000,21534.21054,4256.953687012663,14309.33,28824.03,14901.2735,28205.103499999997,14514.699999999999,21950.942537267456
Mesures27062024_224.txt,1000,21981.8988,4371.197121351765,14577.39,29530.98,15183.0055,28911.796000000002,14953.59,22412.301067207613
Mesures27062024_225.txt,1000,21697.00641,4295.072983966816,14445.73,29035.85,15040.062,28433.6745,14590.119999999999,22118.041031998804
Mesures27062024_226.txt,1000,22009.349309999998,4391.791532194262,14543.4,29518.22,15156.738000000001,28916.8235,14974.820000000002,22443.245975389804
Mesures27062024_227.txt,1000,21824.382329999997,4328.528153071466,14471.0,29173.82,15076.439999999999,28604.1885,14702.82,22249.49033254354
Mesures27062024_228.txt,1000,21707.06296,4295.022182056693,14418.37,29010.3,15013.7505,28407.085,14591.929999999998,22127.896372989526
Mesures27062024_229.txt,1000,21671.783660000005,4308.097456948322,14382.66,29024.77,14981.175500000001,28432.7425,14642.11,22095.83469128079
Mesures27062024_23.txt,1000,14682.537380000002,2892.520827937862,9730.83,19572.16,10134.0425,19156.35,9841.33,14964.74459037479
Mesures27062024_230.txt,1000,21951.88658,4348.764486211262,14575.98,29388.79,15176.95,28789.0215,14812.810000000001,22378.495860484378
Mesures27062024_231.txt,1000,21669.346759999997,4308.643604155245,14382.89,28989.05,14971.8955,28423.9995,14606.16,22093.55106615391
Mesures27062024_232.txt,1000,21855.44893,4342.376033627621,14511.33,29233.16,15113.5475,28648.075,14721.83,22282.658673265665
Mesures27062024_233.txt,1000,21848.61708,4322.769704656874,14521.07,29266.84,15126.271999999999,28662.666999999998,14745.77,22272.14417670573
Mesures27062024_234.txt,1000,22140.704869999998,4373.589383048411,14709.16,29624.67,15331.075499999999,29065.147999999997,14915.509999999998,22568.542182249068
Mesures27062024_235.txt,1000,22531.811510000003,4481.462210970681,14936.73,30110.86,15560.3135,29552.9175,15174.130000000001,22973.15897891552
Mesures27062024_236.txt,1000,22324.24747,4460.129588289302,14803.5,29912.44,15416.711000000001,29336.692499999997,15108.939999999999,22765.42951595983
