offset_s,score,n_pairs,best_feature_HA,best_corr_HA,best_corr_Abs
32446,0.8423211043191929,343,F_mean,0.8446875858895175,
32447,0.8389977868276176,341,F_mean,0.8413553223739891,
32448,0.8360958379103828,343,F_mean,0.8385113393576799,
32449,0.8329266371116788,341,F_mean,0.8353031009203716,
32450,0.8301686394548404,343,F_area_total,0.832612063017001,
32451,0.826604242339623,341,F_mean,0.8290415468711994,
32452,0.8243417542541791,343,F_area_total,0.8268015091907136,
32453,0.8211984094554097,341,F_area_total,0.8236272396226372,
32454,0.8188561687737351,343,F_mean,0.8213389512440357,
32455,0.8154204663880746,341,F_area_total,0.8178845641404202,
32456,0.8133427717312535,343,F_area_total,0.8158659203300043,
32457,0.8101486271844665,341,F_area_total,0.812656053694873,
32458,0.808945372832891,343,F_mean,0.8114805417550821,
32459,0.8059486643731916,341,F_area_total,0.8084625184913401,
32460,0.8042930855217275,343,F_area_total,0.8068600384082952,
32461,0.80114508183314,341,F_mean,0.8037010337590036,
32462,0.8000721623899302,343,F_area_total,0.802671335450232,
32463,0.7970099159239105,341,F_mean,0.7995814577487843,
32464,0.7955281373087684,343,F_area_total,0.7981403265972966,
32465,0.7925967365354465,341,F_mean,0.7951743911162285,
32466,0.7914751252817703,343,F_area_total,0.7940876552607163,
32467,0.788818125286018,341,F_area_total,0.791413948556871,
32468,0.7882790022423298,343,F_area_total,0.7909190624408196,
32469,0.7861577344942476,341,F_mean,0.7887660200932944,
32470,0.785797889297567,343,F_area_total,0.7884330609610561,
32471,0.7831471699686994,341,F_mean,0.7857667388006413,
32472,0.7834063055067527,343,F_area_total,0.7860633155398788,
32473,0.7815583843597003,341,F_mean,0.7841853682325776,
32474,0.7828509511659609,343,F_area_total,0.7855025647949156,
32475,0.7812656593288827,341,F_area_total,0.7838943790884667,
32476,0.7826137496155237,343,F_area_total,0.7852571418857565,
32477,0.7815630143270649,341,F_area_total,0.7841704036733669,
32478,0.7828002352729251,343,F_area_total,0.7854521993649545,
32479,0.7825448707308851,341,F_area_total,0.7851354188745194,
32480,0.7834317516137854,343,F_area_total,0.7860275086338733,
32481,0.7831117752742036,341,F_mean,0.7856810891864555,
32482,0.7833228913223756,343,F_area_total,0.78595449455933,
32483,0.7836407502301772,341,F_area_total,0.7862189834978175,
32484,0.7842085130285532,343,F_mean,0.7868176234336904,
32485,0.784822003680238,341,F_area_total,0.7873747162513647,
32486,0.7855366011074467,343,F_area_total,0.7881114565203954,
32487,0.7869689877403672,341,F_mean,0.7894854026968137,
32488,0.7846473940720455,342,F_area_total,0.7872307946968864,
32489,0.7862383518411395,340,F_mean,0.7887779159952822,
32490,0.7837993836637216,341,F_area_total,0.7863748511707227,
32491,0.7863773959375897,339,F_area_total,0.7889104434559884,
32492,0.7840311846718723,340,F_mean,0.78663151530024,
32493,0.7866539575960858,338,F_area_total,0.789224099967557,
32494,0.7841126931289544,339,F_mean,0.7867366677951607,
32495,0.7879468472994053,337,F_area_total,0.790517399361282,
32496,0.7856205725184185,338,F_area_total,0.7882482294581783,
32497,0.7893977356219295,336,F_area_total,0.7919432468521015,
32498,0.7867756111086937,337,F_area_total,0.7893770914156577,
32499,0.7904065516867339,335,F_area_total,0.7929332857816793,
32500,0.7877059059126036,336,F_mean,0.7902933511749756,
32501,0.7924467411873595,334,F_mean,0.7949486370884306,
32502,0.7897448621447747,335,F_area_total,0.7923338056889575,
32503,0.7945432419165723,333,F_mean,0.7970517582648645,
32504,0.7921132983404471,334,F_area_total,0.7946793648152366,
32505,0.7968027427308226,332,F_mean,0.7992778686767377,
32506,0.7945420920760313,333,F_mean,0.7971126118962235,
32507,0.7993633265543603,331,F_area_total,0.8018378304271968,
32508,0.7969370961843898,332,F_area_total,0.7995511614651949,
32509,0.8017213937645373,330,F_area_total,0.8042247572382787,
32510,0.7992048397425416,331,F_mean,0.8018264482196812,
32511,0.804744772498565,329,F_mean,0.8072517522344073,
32512,0.8022770511041765,330,F_area_total,0.8049454805300532,
32513,0.8076373831978753,328,F_mean,0.8101750526405258,
32514,0.8050457598993694,329,F_mean,0.8077431500829764,
32515,0.8104555953801712,327,F_area_total,0.8130110314037154,
32516,0.8077448773199615,328,F_mean,0.8104701151678037,
32517,0.8139892468500374,326,F_area_total,0.8165517788742153,
32518,0.811397729193028,327,F_area_total,0.8141071112745135,
32519,0.8183430777017796,325,F_mean,0.8208695872801814,
